Serial Number,Conrod Name,Conrod Variant,Conrod Size,Small End Diameter,Big End Diameter,Center Distance,Pin Name,Pin Size,Ball Bearing Name,Ball Bearing Variant,Ball Bearing Size,Amount
73,Pep plus,STD,STD,13,30,92.5,Pep Plus,STD,Hero Honda,STD,STD,10
74,Pep plus,STD,1,13,30,92.5,Pep Plus,1,Hero Honda,STD,1,10
75,Pep plus,STD,2,13,30,92.5,Pep Plus,2,Hero Honda,STD,2,10
76,Pep plus,STD,3,13,30,92.5,Pep Plus,3,Hero Honda,STD,3,10
77,Pep plus,STD,4,13,30,92.5,Pep Plus,4,Hero Honda,STD,4,10
78,Pep plus,STD,5,13,30,92.5,Pep Plus,5,Hero Honda,STD,5,10
79,Pep plus,STD,6,13,30,92.5,Pep Plus,6,Hero Honda,STD,6,10
80,Pep plus,STD,7,13,30,92.5,Pep Plus,7,Hero Honda,STD,7,10
81,Star City,Local,STD,13,30,92.5,Star City,STD,Hero Honda,Local,STD,10
82,Star City,Local,1,13,30,92.5,Star City,1,Hero Honda,Local,1,10
83,Star City,Local,2,13,30,92.5,Star City,2,Hero Honda,Local,2,10
84,Star City,Local,3,13,30,92.5,Star City,3,Hero Honda,Local,3,10
85,Star City,Local,4,13,30,92.5,Star City,4,Hero Honda,Local,4,10
86,Star City,Local,5,13,30,92.5,Star City,5,Hero Honda,Local,5,10
87,Star City,Local,6,13,30,92.5,Star City,6,Hero Honda,Local,6,10
88,Star City,Local,7,13,30,92.5,Star City,7,Hero Honda,Local,7,10
89,Star City,STD,STD,13,30,92.5,Star City,STD,Hero Honda,STD,STD,10
90,Star City,STD,1,13,30,92.5,Star City,1,Hero Honda,STD,1,10
91,Star City,STD,2,13,30,92.5,Star City,2,Hero Honda,STD,2,10
92,Star City,STD,3,13,30,92.5,Star City,3,Hero Honda,STD,3,10
93,Star City,STD,4,13,30,92.5,Star City,4,Hero Honda,STD,4,10
94,Star City,STD,5,13,30,92.5,Star City,5,Hero Honda,STD,5,10
95,Star City,STD,6,13,30,92.5,Star City,6,Hero Honda,STD,6,10
96,Star City,STD,7,13,30,92.5,Star City,7,Hero Honda,STD,7,10
97,Centra,Local,STD,13,30,92.5,Centra,STD,Hero Honda,Local,STD,10
98,Centra,Local,1,13,30,92.5,Centra,1,Hero Honda,Local,1,10
99,Centra,Local,2,13,30,92.5,Centra,2,Hero Honda,Local,2,10
100,Centra,Local,3,13,30,92.5,Centra,3,Hero Honda,Local,3,10
101,Centra,Local,4,13,30,92.5,Centra,4,Hero Honda,Local,4,10
102,Centra,Local,5,13,30,92.5,Centra,5,Hero Honda,Local,5,10
103,Centra,Local,6,13,30,92.5,Centra,6,Hero Honda,Local,6,10
104,Centra,Local,7,13,30,92.5,Centra,7,Hero Honda,Local,7,10
105,Centra,STD,STD,13,30,92.5,Centra,STD,Hero Honda,STD,STD,10
106,Centra,STD,1,13,30,92.5,Centra,1,Hero Honda,STD,1,10
107,Centra,STD,2,13,30,92.5,Centra,2,Hero Honda,STD,2,10
108,Centra,STD,3,13,30,92.5,Centra,3,Hero Honda,STD,3,10
109,Centra,STD,4,13,30,92.5,Centra,4,Hero Honda,STD,4,10
110,Centra,STD,5,13,30,92.5,Centra,5,Hero Honda,STD,5,10
111,Centra,STD,6,13,30,92.5,Centra,6,Hero Honda,STD,6,10
112,Centra,STD,7,13,30,92.5,Centra,7,Hero Honda,STD,7,10
113,Super Splendor,Local,STD,13,30,92.5,Hero Honda,STD,Hero Honda,Local,STD,10
114,Super Splendor,Local,1,13,30,92.5,Hero Honda,1,Hero Honda,Local,1,10
115,Super Splendor,Local,2,13,30,92.5,Hero Honda,2,Hero Honda,Local,2,10
116,Super Splendor,Local,3,13,30,92.5,Hero Honda,3,Hero Honda,Local,3,10
